name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Ho Chi Minh City,2023-04-01T00:00:00,27.0,30.6,25.0,88.84,0.0,0,,0,0,23.0,16.6,150.0,1010.0,50.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T01:00:00,26.9,30.3,24.9,88.88,0.0,0,,0,0,24.5,10.8,140.0,1010.0,52.8,10.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T02:00:00,27.0,30.6,25.0,88.84,0.0,0,,0,0,24.1,7.6,150.0,1009.0,50.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T03:00:00,27.0,30.6,25.0,88.84,0.0,0,,0,0,24.8,13.0,150.0,1009.0,50.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T04:00:00,26.9,30.2,24.9,88.98,0.0,0,,0,0,23.4,7.5,149.0,1009.0,53.7,10.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T05:00:00,27.0,30.6,25.0,88.84,0.0,0,,0,0,22.7,13.0,140.0,1009.0,50.0,8.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T06:00:00,27.0,30.6,25.0,88.84,0.0,0,,0,0,20.5,7.6,130.0,1010.0,50.0,8.0,0,0.0,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T07:00:00,27.8,31.6,24.0,80.01,0.0,0,,0,0,19.4,8.8,131.0,1011.0,53.7,10.9,102,0.4,1,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T08:00:00,29.0,33.6,24.0,74.46,0.0,0,,0,0,15.1,13.0,130.0,1012.0,50.0,10.0,313,1.1,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T09:00:00,30.0,35.1,24.0,70.29,0.0,0,,0,0,12.2,11.2,140.0,1012.0,27.0,10.0,550,2.0,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T10:00:00,30.8,36.2,23.9,66.91,0.0,0,,0,0,10.1,5.9,90.0,1012.0,52.8,10.9,786,2.8,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T11:00:00,32.0,37.9,24.0,62.71,0.0,0,,0,0,8.6,9.4,130.0,1011.0,88.8,10.0,935,3.4,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T12:00:00,32.0,39.2,25.0,66.58,0.0,0,,0,0,9.7,9.4,130.0,1010.0,88.8,10.0,1019,3.7,10,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T13:00:00,32.9,40.3,24.9,63.22,0.0,0,,0,0,11.9,7.9,133.0,1009.0,88.0,10.9,1022,3.7,10,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T14:00:00,34.0,41.9,25.0,59.5,0.0,0,,0,0,14.4,9.4,230.0,1007.0,50.0,10.0,920,3.3,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T15:00:00,33.0,40.6,25.0,62.93,0.0,0,,0,0,15.8,16.6,180.0,1007.0,50.0,10.0,740,2.7,7,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T16:00:00,31.9,38.9,24.9,66.78,0.0,0,,0,0,19.1,16.0,180.0,1007.0,52.8,10.9,486,1.7,5,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T17:00:00,30.0,37.4,26.0,79.19,0.0,0,,0,0,25.2,18.4,180.0,1007.0,50.0,10.0,225,0.8,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T18:00:00,29.0,33.6,24.0,74.46,0.0,0,,0,0,29.2,16.6,170.0,1008.0,27.0,10.0,53,0.2,1,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T19:00:00,27.9,32.4,24.8,83.4,0.0,0,,0,0,29.9,12.4,158.0,1009.0,32.0,10.9,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T20:00:00,28.0,31.9,24.0,78.92,0.0,0,,0,0,30.2,14.8,150.0,1009.0,27.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T21:00:00,28.0,31.9,24.0,78.92,0.0,0,,0,0,31.3,13.0,140.0,1010.0,27.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-01T22:00:00,26.9,29.9,23.9,83.86,0.0,0,,0,0,31.3,10.1,130.0,1010.0,32.0,10.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-01T23:00:00,27.0,30.1,24.0,83.68,0.0,0,,0,0,31.7,11.2,140.0,1011.0,27.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T00:00:00,27.0,30.1,24.0,83.68,0.0,0,,0,0,30.2,9.4,140.0,1010.0,27.0,10.0,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T01:00:00,25.9,25.9,22.9,83.55,0.0,0,,0,0,27.4,6.9,170.0,1010.0,30.1,10.9,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-02T02:00:00,26.0,26.0,24.0,88.76,0.0,0,,0,0,26.6,9.4,160.0,1009.0,27.0,10.0,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T03:00:00,26.0,26.0,24.0,88.76,0.0,0,,0,0,22.3,7.6,160.0,1009.0,27.0,10.0,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T04:00:00,25.8,25.8,23.9,89.25,0.0,0,,0,0,23.8,6.9,130.0,1009.0,49.1,10.9,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-02T05:00:00,25.0,25.0,24.0,94.19,0.0,0,,0,0,21.6,3.6,124.4,1009.0,50.0,10.0,0,0.0,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T06:00:00,25.0,25.0,24.0,94.19,0.0,0,,0,0,18.0,7.6,80.0,1010.0,27.0,10.0,1,0.0,0,3,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T07:00:00,26.9,30.3,24.9,89.18,0.0,0,,0,0,13.7,4.9,100.0,1010.1,6.1,9.1,100,0.4,1,3,Clear,clear-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-02T08:00:00,29.0,34.5,25.0,79.06,0.0,0,,0,0,12.2,7.6,110.0,1011.0,0.0,8.0,353,1.3,4,10,Clear,clear-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T09:00:00,31.0,37.7,25.0,70.47,0.0,0,,0,0,10.4,9.4,130.0,1011.0,27.0,10.0,596,2.1,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T10:00:00,31.9,38.9,24.9,66.74,0.0,0,,0,0,9.0,5.2,50.0,1011.0,83.3,10.9,801,2.9,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
Ho Chi Minh City,2023-04-02T11:00:00,33.0,39.2,24.0,59.27,0.0,0,,0,0,7.2,7.6,110.0,1011.0,88.8,10.0,948,3.4,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T12:00:00,33.0,37.0,22.0,52.51,0.0,0,,0,0,6.5,7.6,170.1,1009.0,88.8,10.0,1024,3.7,10,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
Ho Chi Minh City,2023-04-02T13:00:00,33.9,37.4,21.2,47.44,0.0,0,,0,0,9.4,7.9,180.0,1008.0,83.3,10.9,1019,3.7,10,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
